municipality_name,age_gr,sex,pop
Alytaus m. sav.,80–84,Moteris,1131
Alytaus m. sav.,85 ir vyresni,Vyras,333
Alytaus m. sav.,85 ir vyresni,Moteris,887
Alytaus r. sav.,0–4,Vyras,443
Alytaus r. sav.,0–4,Moteris,432
Alytaus r. sav.,5–9,Vyras,601
Alytaus r. sav.,5–9,Moteris,624
Alytaus r. sav.,10–14,Vyras,654
Alytaus r. sav.,10–14,Moteris,590
Alytaus r. sav.,15–19,Vyras,650
Alytaus r. sav.,15–19,Moteris,623
Alytaus r. sav.,20–24,Vyras,774
Alytaus r. sav.,20–24,Moteris,716
Alytaus r. sav.,25–29,Vyras,782
Alytaus r. sav.,25–29,Moteris,695
Alytaus r. sav.,30–34,Vyras,765
Alytaus r. sav.,30–34,Moteris,701
Alytaus r. sav.,35–39,Vyras,786
Alytaus r. sav.,35–39,Moteris,762
Alytaus r. sav.,40–44,Vyras,793
Alytaus r. sav.,40–44,Moteris,730
Alytaus r. sav.,45–49,Vyras,885
Alytaus r. sav.,45–49,Moteris,841
Alytaus r. sav.,50–54,Vyras,1059
Alytaus r. sav.,50–54,Moteris,993
Alytaus r. sav.,55–59,Vyras,1076
Alytaus r. sav.,55–59,Moteris,1009
Alytaus r. sav.,60–64,Vyras,1081
Alytaus r. sav.,60–64,Moteris,976
Alytaus r. sav.,65–69,Vyras,673
Alytaus r. sav.,65–69,Moteris,749
Alytaus r. sav.,70–74,Vyras,542
Alytaus r. sav.,70–74,Moteris,632
Alytaus r. sav.,75–79,Vyras,356
Alytaus r. sav.,75–79,Moteris,622
Alytaus r. sav.,80–84,Vyras,235
Alytaus r. sav.,80–84,Moteris,599
Alytaus r. sav.,85 ir vyresni,Vyras,224
Alytaus r. sav.,85 ir vyresni,Moteris,756
Druskininkų sav.,0–4,Vyras,410
Druskininkų sav.,0–4,Moteris,323
Druskininkų sav.,5–9,Vyras,444
Druskininkų sav.,5–9,Moteris,442
Druskininkų sav.,10–14,Vyras,415
Druskininkų sav.,10–14,Moteris,417
Druskininkų sav.,15–19,Vyras,406
Druskininkų sav.,15–19,Moteris,377
Druskininkų sav.,20–24,Vyras,460
Druskininkų sav.,20–24,Moteris,461
Druskininkų sav.,25–29,Vyras,572
Druskininkų sav.,25–29,Moteris,555
Druskininkų sav.,30–34,Vyras,681
Druskininkų sav.,30–34,Moteris,618
Druskininkų sav.,35–39,Vyras,576
Druskininkų sav.,35–39,Moteris,588
Druskininkų sav.,40–44,Vyras,545
Druskininkų sav.,40–44,Moteris,496
Druskininkų sav.,45–49,Vyras,586
Druskininkų sav.,45–49,Moteris,655
Druskininkų sav.,50–54,Vyras,759
Druskininkų sav.,50–54,Moteris,883
Druskininkų sav.,55–59,Vyras,788
Druskininkų sav.,55–59,Moteris,994
Druskininkų sav.,60–64,Vyras,783
Druskininkų sav.,60–64,Moteris,1042
Druskininkų sav.,65–69,Vyras,477
Druskininkų sav.,65–69,Moteris,770
Druskininkų sav.,70–74,Vyras,395
Druskininkų sav.,70–74,Moteris,684
Druskininkų sav.,75–79,Vyras,299
Druskininkų sav.,75–79,Moteris,603
Druskininkų sav.,80–84,Vyras,196
Druskininkų sav.,80–84,Moteris,512
Druskininkų sav.,85 ir vyresni,Vyras,157
Druskininkų sav.,85 ir vyresni,Moteris,474
Lazdijų r. sav.,0–4,Vyras,281
Lazdijų r. sav.,0–4,Moteris,263
Lazdijų r. sav.,5–9,Vyras,346
Lazdijų r. sav.,5–9,Moteris,378
Lazdijų r. sav.,10–14,Vyras,419
Lazdijų r. sav.,10–14,Moteris,374
Lazdijų r. sav.,15–19,Vyras,443
Lazdijų r. sav.,15–19,Moteris,462
Lazdijų r. sav.,20–24,Vyras,553
Lazdijų r. sav.,20–24,Moteris,496
Lazdijų r. sav.,25–29,Vyras,596
Lazdijų r. sav.,25–29,Moteris,481
Lazdijų r. sav.,30–34,Vyras,614
Lazdijų r. sav.,30–34,Moteris,474
Lazdijų r. sav.,35–39,Vyras,492
Lazdijų r. sav.,35–39,Moteris,444
Lazdijų r. sav.,40–44,Vyras,459
Lazdijų r. sav.,40–44,Moteris,472
Lazdijų r. sav.,45–49,Vyras,618
Lazdijų r. sav.,45–49,Moteris,598
Lazdijų r. sav.,50–54,Vyras,767
Lazdijų r. sav.,50–54,Moteris,781
Lazdijų r. sav.,55–59,Vyras,815
Lazdijų r. sav.,55–59,Moteris,762
Lazdijų r. sav.,60–64,Vyras,710
Lazdijų r. sav.,60–64,Moteris,732
Lazdijų r. sav.,65–69,Vyras,465
Lazdijų r. sav.,65–69,Moteris,545
Lazdijų r. sav.,70–74,Vyras,319
Lazdijų r. sav.,70–74,Moteris,469
Lazdijų r. sav.,75–79,Vyras,256
Lazdijų r. sav.,75–79,Moteris,489
Lazdijų r. sav.,80–84,Vyras,195
Lazdijų r. sav.,80–84,Moteris,511
Lazdijų r. sav.,85 ir vyresni,Vyras,204
Lazdijų r. sav.,85 ir vyresni,Moteris,609
Varėnos r. sav.,0–4,Vyras,322
Varėnos r. sav.,0–4,Moteris,331
Varėnos r. sav.,5–9,Vyras,431
Varėnos r. sav.,5–9,Moteris,403
Varėnos r. sav.,10–14,Vyras,424
Varėnos r. sav.,10–14,Moteris,403
Varėnos r. sav.,15–19,Vyras,464
Varėnos r. sav.,15–19,Moteris,511
Varėnos r. sav.,20–24,Vyras,601
Varėnos r. sav.,20–24,Moteris,535
Varėnos r. sav.,25–29,Vyras,668
Varėnos r. sav.,25–29,Moteris,569
Varėnos r. sav.,30–34,Vyras,663
Varėnos r. sav.,30–34,Moteris,535
Varėnos r. sav.,35–39,Vyras,590
Varėnos r. sav.,35–39,Moteris,515
Varėnos r. sav.,40–44,Vyras,561
Varėnos r. sav.,40–44,Moteris,530
Varėnos r. sav.,45–49,Vyras,700
Varėnos r. sav.,45–49,Moteris,673
Varėnos r. sav.,50–54,Vyras,842
Varėnos r. sav.,50–54,Moteris,871
Varėnos r. sav.,55–59,Vyras,880
Varėnos r. sav.,55–59,Moteris,857
Varėnos r. sav.,60–64,Vyras,894
Varėnos r. sav.,60–64,Moteris,1013
Varėnos r. sav.,65–69,Vyras,511
Varėnos r. sav.,65–69,Moteris,750
Varėnos r. sav.,70–74,Vyras,431
Varėnos r. sav.,70–74,Moteris,660
Varėnos r. sav.,75–79,Vyras,335
Varėnos r. sav.,75–79,Moteris,650
Varėnos r. sav.,80–84,Vyras,231
Varėnos r. sav.,80–84,Moteris,585
Varėnos r. sav.,85 ir vyresni,Vyras,161
Varėnos r. sav.,85 ir vyresni,Moteris,646
Birštono sav.,0–4,Vyras,71
Birštono sav.,0–4,Moteris,65
Birštono sav.,5–9,Vyras,90
Birštono sav.,5–9,Moteris,84
Birštono sav.,10–14,Vyras,83
Birštono sav.,10–14,Moteris,86
Birštono sav.,15–19,Vyras,81
Birštono sav.,15–19,Moteris,88
Birštono sav.,20–24,Vyras,83
Birštono sav.,20–24,Moteris,81
Birštono sav.,25–29,Vyras,117
Birštono sav.,25–29,Moteris,120
Birštono sav.,30–34,Vyras,128
Birštono sav.,30–34,Moteris,127
Birštono sav.,35–39,Vyras,132
Birštono sav.,35–39,Moteris,111
Birštono sav.,40–44,Vyras,103
Birštono sav.,40–44,Moteris,106
Birštono sav.,45–49,Vyras,108
Birštono sav.,45–49,Moteris,121
Birštono sav.,50–54,Vyras,134
Birštono sav.,50–54,Moteris,178
Birštono sav.,55–59,Vyras,158
Birštono sav.,55–59,Moteris,186
Birštono sav.,60–64,Vyras,178
Birštono sav.,60–64,Moteris,236
Birštono sav.,65–69,Vyras,134
Birštono sav.,65–69,Moteris,178
Birštono sav.,70–74,Vyras,92
Birštono sav.,70–74,Moteris,150
Birštono sav.,75–79,Vyras,53
Birštono sav.,75–79,Moteris,115
Birštono sav.,80–84,Vyras,43
Birštono sav.,80–84,Moteris,112
Birštono sav.,85 ir vyresni,Vyras,26
Birštono sav.,85 ir vyresni,Moteris,123
Jonavos r. sav.,0–4,Vyras,871
Jonavos r. sav.,0–4,Moteris,827
Jonavos r. sav.,5–9,Vyras,1072
Jonavos r. sav.,5–9,Moteris,955
Jonavos r. sav.,10–14,Vyras,1063
Jonavos r. sav.,10–14,Moteris,1054
Jonavos r. sav.,15–19,Vyras,1106
Jonavos r. sav.,15–19,Moteris,1084
Jonavos r. sav.,20–24,Vyras,1228
Jonavos r. sav.,20–24,Moteris,1170
Jonavos r. sav.,25–29,Vyras,1230
Jonavos r. sav.,25–29,Moteris,1180
Jonavos r. sav.,30–34,Vyras,1237
Jonavos r. sav.,30–34,Moteris,1200
Jonavos r. sav.,35–39,Vyras,1272
Jonavos r. sav.,35–39,Moteris,1199
Jonavos r. sav.,40–44,Vyras,1343
Jonavos r. sav.,40–44,Moteris,1263
Jonavos r. sav.,45–49,Vyras,1460
Jonavos r. sav.,45–49,Moteris,1480
Jonavos r. sav.,50–54,Vyras,1538
Jonavos r. sav.,50–54,Moteris,1650
Jonavos r. sav.,55–59,Vyras,1520
Jonavos r. sav.,55–59,Moteris,1722
Jonavos r. sav.,60–64,Vyras,1403
Jonavos r. sav.,60–64,Moteris,1805
Jonavos r. sav.,65–69,Vyras,996
Jonavos r. sav.,65–69,Moteris,1511
Jonavos r. sav.,70–74,Vyras,825
Jonavos r. sav.,70–74,Moteris,1417
Jonavos r. sav.,75–79,Vyras,519
Jonavos r. sav.,75–79,Moteris,1014
Jonavos r. sav.,80–84,Vyras,333
Jonavos r. sav.,80–84,Moteris,851
Jonavos r. sav.,85 ir vyresni,Vyras,171
Jonavos r. sav.,85 ir vyresni,Moteris,679
Kaišiadorių r. sav.,0–4,Vyras,518
Kaišiadorių r. sav.,0–4,Moteris,482
Kaišiadorių r. sav.,5–9,Vyras,676
Kaišiadorių r. sav.,5–9,Moteris,605
Kaišiadorių r. sav.,10–14,Vyras,734
Kaišiadorių r. sav.,10–14,Moteris,676
Kaišiadorių r. sav.,15–19,Vyras,700
Kaišiadorių r. sav.,15–19,Moteris,690
Kaišiadorių r. sav.,20–24,Vyras,1036
Kaišiadorių r. sav.,20–24,Moteris,820
Kaišiadorių r. sav.,25–29,Vyras,1162
Kaišiadorių r. sav.,25–29,Moteris,765
Kaišiadorių r. sav.,30–34,Vyras,1172
Kaišiadorių r. sav.,30–34,Moteris,774
Kaišiadorių r. sav.,35–39,Vyras,1069
Kaišiadorių r. sav.,35–39,Moteris,795
Kaišiadorių r. sav.,40–44,Vyras,1008
Kaišiadorių r. sav.,40–44,Moteris,809
Kaišiadorių r. sav.,45–49,Vyras,1088
Kaišiadorių r. sav.,45–49,Moteris,1013
Kaišiadorių r. sav.,50–54,Vyras,1195
Kaišiadorių r. sav.,50–54,Moteris,1121
Kaišiadorių r. sav.,55–59,Vyras,1184
Kaišiadorių r. sav.,55–59,Moteris,1126
Kaišiadorių r. sav.,60–64,Vyras,1084
Kaišiadorių r. sav.,60–64,Moteris,1235
Kaišiadorių r. sav.,65–69,Vyras,728
Kaišiadorių r. sav.,65–69,Moteris,963
Kaišiadorių r. sav.,70–74,Vyras,563
Kaišiadorių r. sav.,70–74,Moteris,891
Kaišiadorių r. sav.,75–79,Vyras,382
Kaišiadorių r. sav.,75–79,Moteris,710
Kaišiadorių r. sav.,80–84,Vyras,232
Kaišiadorių r. sav.,80–84,Moteris,565
Kaišiadorių r. sav.,85 ir vyresni,Vyras,162
Kaišiadorių r. sav.,85 ir vyresni,Moteris,564
Kauno m. sav.,0–4,Vyras,7626
